Restaurant,logo_url
Burger King,https://p7.hiclipart.com/preview/121/1018/571/hamburger-whopper-chophouse-restaurant-burger-king-cheeseburger-burger-king-logo.jpg
Coco Ichibanya,https://www.ichibanya.co.jp/assets/images/english/english-logo-coco.png
Denny's,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Denny%27s_logo.svg/1200px-Denny%27s_logo.svg.png
Family Mart,https://fontmeme.com/images/FamilyMart_Logo_.png
Freshness Burger,https://www.shiodome-cc.com/uploads/images/resized/280x200/shiodome/000002/000002/575a5ef5.png
Lawson,https://imgcp.aacdn.jp/img-a/1200/900/global-aaj-front/author/2016/09/57d7dd0a06df6_57d7dd02c9b72_1664382181.jpg
McDonalds,https://banner2.cleanpng.com/20171220/stq/mcdonald-s-logo-png-5a3a1e94326fd0.32478749151375835620666542.jpg
Seven Eleven,http://assets.stickpng.com/images/58429094a6515b1e0ad75abd.png
Sukiya,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Sukiya_logo.svg/1200px-Sukiya_logo.svg.png
Yoshinoya,https://www.universityvillageriverside.com/wp-content/uploads/2018/03/yoshinoya-1.jpg
Starbucks,https://i.pinimg.com/originals/15/a1/0b/15a10bcc2406f1b33749e95936920b6c.jpg
Mos Burger,http://www.mosburger.com.au/website-images/site-logo.png
Royal Host,https://sozainavi.com/wp-content/uploads/2019/10/royalhost.jpg
